DataType;SortType;Threshold;Size;Time_ms
NearlySorted;Standard;0;500;0.1669
NearlySorted;Standard;0;600;0.2057
NearlySorted;Standard;0;700;0.2396
NearlySorted;Standard;0;800;0.278
NearlySorted;Standard;0;900;0.3897
NearlySorted;Standard;0;1000;0.3471
NearlySorted;Standard;0;1100;0.3725
NearlySorted;Standard;0;1200;0.4114
NearlySorted;Standard;0;1300;0.4522
NearlySorted;Standard;0;1400;0.4851
NearlySorted;Standard;0;1500;0.5177
NearlySorted;Standard;0;1600;0.5607
NearlySorted;Standard;0;1700;0.6042
NearlySorted;Standard;0;1800;0.6288
NearlySorted;Standard;0;1900;0.6924
NearlySorted;Standard;0;2000;0.701
NearlySorted;Standard;0;2100;0.7347
NearlySorted;Standard;0;2200;0.8161
NearlySorted;Standard;0;2300;0.8039
NearlySorted;Standard;0;2400;0.8432
NearlySorted;Standard;0;2500;1.5573
NearlySorted;Standard;0;2600;0.9122
NearlySorted;Standard;0;2700;0.9648
NearlySorted;Standard;0;2800;1.0111
NearlySorted;Standard;0;2900;1.0397
NearlySorted;Standard;0;3000;1.1071
NearlySorted;Standard;0;3100;1.1158
NearlySorted;Standard;0;3200;1.1771
NearlySorted;Standard;0;3300;1.6567
NearlySorted;Standard;0;3400;1.2196
NearlySorted;Standard;0;3500;1.2633
NearlySorted;Standard;0;3600;1.3199
NearlySorted;Standard;0;3700;1.3626
NearlySorted;Standard;0;3800;1.3574
NearlySorted;Standard;0;3900;1.3964
NearlySorted;Standard;0;4000;1.428
NearlySorted;Standard;0;4100;1.4823
NearlySorted;Standard;0;4200;1.5113
NearlySorted;Standard;0;4300;1.5499
NearlySorted;Standard;0;4400;1.6359
NearlySorted;Standard;0;4500;1.812
NearlySorted;Standard;0;4600;1.6738
NearlySorted;Standard;0;4700;1.7345
NearlySorted;Standard;0;4800;1.7438
NearlySorted;Standard;0;4900;1.7838
NearlySorted;Standard;0;5000;1.8116
NearlySorted;Standard;0;5100;1.8565
NearlySorted;Standard;0;5200;1.8927
NearlySorted;Standard;0;5300;1.9325
NearlySorted;Standard;0;5400;1.9832
NearlySorted;Standard;0;5500;2.8408
NearlySorted;Standard;0;5600;2.0505
NearlySorted;Standard;0;5700;2.0762
NearlySorted;Standard;0;5800;2.1151
NearlySorted;Standard;0;5900;2.5505
NearlySorted;Standard;0;6000;2.1746
NearlySorted;Standard;0;6100;2.2389
NearlySorted;Standard;0;6200;2.2811
NearlySorted;Standard;0;6300;2.4487
NearlySorted;Standard;0;6400;2.3912
NearlySorted;Standard;0;6500;2.4491
NearlySorted;Standard;0;6600;3.1134
NearlySorted;Standard;0;6700;2.4876
NearlySorted;Standard;0;6800;2.542
NearlySorted;Standard;0;6900;2.565
NearlySorted;Standard;0;7000;2.6489
NearlySorted;Standard;0;7100;2.6024
NearlySorted;Standard;0;7200;2.6542
NearlySorted;Standard;0;7300;2.7402
NearlySorted;Standard;0;7400;2.7622
NearlySorted;Standard;0;7500;2.8098
NearlySorted;Standard;0;7600;2.9885
NearlySorted;Standard;0;7700;2.8758
NearlySorted;Standard;0;7800;2.9096
NearlySorted;Standard;0;7900;2.9558
NearlySorted;Standard;0;8000;3.0075
NearlySorted;Standard;0;8100;2.9921
NearlySorted;Standard;0;8200;3.0344
NearlySorted;Standard;0;8300;3.0799
NearlySorted;Standard;0;8400;3.2234
NearlySorted;Standard;0;8500;3.218
NearlySorted;Standard;0;8600;3.1949
NearlySorted;Standard;0;8700;4.0818
NearlySorted;Standard;0;8800;3.2797
NearlySorted;Standard;0;8900;3.3277
NearlySorted;Standard;0;9000;3.3466
NearlySorted;Standard;0;9100;3.5544
NearlySorted;Standard;0;9200;3.5948
NearlySorted;Standard;0;9300;3.4692
NearlySorted;Standard;0;9400;3.7552
NearlySorted;Standard;0;9500;3.6463
NearlySorted;Standard;0;9600;3.602
NearlySorted;Standard;0;9700;3.7383
NearlySorted;Standard;0;9800;3.724
NearlySorted;Standard;0;9900;3.7009
NearlySorted;Standard;0;10000;3.7919
NearlySorted;Standard;0;10100;4.0303
NearlySorted;Standard;0;10200;3.798
NearlySorted;Standard;0;10300;3.9073
NearlySorted;Standard;0;10400;4.0282
NearlySorted;Standard;0;10500;3.9454
NearlySorted;Standard;0;10600;3.9829
NearlySorted;Standard;0;10700;4.0369
NearlySorted;Standard;0;10800;4.169
NearlySorted;Standard;0;10900;4.1215
NearlySorted;Standard;0;11000;4.1423
NearlySorted;Standard;0;11100;4.2498
NearlySorted;Standard;0;11200;4.2723
NearlySorted;Standard;0;11300;4.6672
NearlySorted;Standard;0;11400;4.2776
NearlySorted;Standard;0;11500;4.6171
NearlySorted;Standard;0;11600;4.4024
NearlySorted;Standard;0;11700;4.8827
NearlySorted;Standard;0;11800;4.5023
NearlySorted;Standard;0;11900;4.52
NearlySorted;Standard;0;12000;4.6246
NearlySorted;Standard;0;12100;4.6654
NearlySorted;Standard;0;12200;5.4455
NearlySorted;Standard;0;12300;4.7036
NearlySorted;Standard;0;12400;5.2887
NearlySorted;Standard;0;12500;4.7275
NearlySorted;Standard;0;12600;4.8352
NearlySorted;Standard;0;12700;4.8858
NearlySorted;Standard;0;12800;4.8881
NearlySorted;Standard;0;12900;4.964
NearlySorted;Standard;0;13000;4.9879
NearlySorted;Standard;0;13100;4.981
NearlySorted;Standard;0;13200;5.1689
NearlySorted;Standard;0;13300;5.0846
NearlySorted;Standard;0;13400;5.2342
NearlySorted;Standard;0;13500;5.4267
NearlySorted;Standard;0;13600;5.2336
NearlySorted;Standard;0;13700;5.2558
NearlySorted;Standard;0;13800;6.2035
NearlySorted;Standard;0;13900;5.3548
NearlySorted;Standard;0;14000;5.359
NearlySorted;Standard;0;14100;5.5494
NearlySorted;Standard;0;14200;5.4778
NearlySorted;Standard;0;14300;5.4431
NearlySorted;Standard;0;14400;6.2149
NearlySorted;Standard;0;14500;5.6018
NearlySorted;Standard;0;14600;5.6419
NearlySorted;Standard;0;14700;5.7675
NearlySorted;Standard;0;14800;5.7048
NearlySorted;Standard;0;14900;5.725
NearlySorted;Standard;0;15000;5.7688
NearlySorted;Standard;0;15100;6.0264
NearlySorted;Standard;0;15200;5.8369
NearlySorted;Standard;0;15300;5.8838
NearlySorted;Standard;0;15400;6.0101
NearlySorted;Standard;0;15500;5.9707
NearlySorted;Standard;0;15600;6.0526
NearlySorted;Standard;0;15700;6.1115
NearlySorted;Standard;0;15800;6.4089
NearlySorted;Standard;0;15900;6.2545
NearlySorted;Standard;0;16000;6.258
NearlySorted;Standard;0;16100;6.4008
NearlySorted;Standard;0;16200;6.5513
NearlySorted;Standard;0;16300;6.2914
NearlySorted;Standard;0;16400;6.267
NearlySorted;Standard;0;16500;6.2968
NearlySorted;Standard;0;16600;7.3699
NearlySorted;Standard;0;16700;6.6913
NearlySorted;Standard;0;16800;6.4057
NearlySorted;Standard;0;16900;6.5704
NearlySorted;Standard;0;17000;6.6578
NearlySorted;Standard;0;17100;7.6032
